ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,avg_rating,duel_win,dribble_success,tackle_success,passes_per_90,minutes_played,matches_played
Luis Suárez,Forward,Uruguay,6.9,0.449275,0.428571,,25.628141,597,8
Sergio Busquets,Midfielder,Spain,6.975,0.579545,1,0.571429,71.856764,754,8
Pape Gueye,Midfielder,Senegal,7.1000000000000005,0.425532,,0.428571,50.798969,388,8
Cyle Larin,Forward,Canada,6.642857142857143,0.258065,0.4,,13.527607,326,8
Eberechi Eze,Midfielder,England,6.82,0.5,0.75,,40.909091,209,8
Diego Godín,Defender,Uruguay,7.171428571428572,0.65,1,0.5,49.784053,602,8
Alphonso Davies,Defender,Canada,6.575,0.42,0.48,0.5,31.578947,285,8
Johan Vásquez,Defender,Mexico,7.075,0.695652,,0.333333,56.842105,380,8
Mohamed El-Shenawy,Goalkeeper,Egypt,6.35,,,,22.5,180,8
Alireza Jahanbakhsh,Forward,Iran,6.671428571428572,0.444444,1,0.75,20.425532,282,8
Mahmoud Trézéguet,Midfielder,Egypt,6.585714285714286,0.396825,0.5,0.833333,36.131387,411,8
Hiroki Sakai,Defender,Japan,6.616666666666667,0.535211,0.333333,0.538462,35.323591,479,8
Dylan Bronn,Defender,Tunisia,6.720000000000001,0.578947,,0.666667,44.161491,322,8
Lucas Digne,Defender,France,6.616666666666666,0.588235,0.5,0.6,47.647059,476,8
Pathé Ismaël Ciss,Midfielder,Senegal,6.728571428571429,0.541667,0.6,0.75,52.767857,336,8
Krépin Diatta,Midfielder,Senegal,6.7,0.5625,0.727273,0.769231,51.608392,572,8
Derek Cornelius,Defender,Canada,6.45,0.527778,,0.6,54.571429,315,8
Alistair Johnston,Defender,Canada,6.8125,0.490909,0.571429,0.714286,42.125,720,8
Matias Vecino,Midfielder,Uruguay,6.8,0.424658,0.666667,0.636364,52.647059,612,8
Takehiro Tomiyasu,Defender,Japan,6.95,0.533333,,0.5,53.756757,370,8
Iliman Ndiaye,Midfielder,Senegal,7,0.441176,0.75,,30.579151,259,8
Xherdan Shaqiri,Midfielder,Switzerland,7.128571428571428,0.465517,0.4375,1,40.515464,582,8
Ismail Jakobs,Defender,Senegal,6.7,0.489796,0.333333,0.4,36.144578,498,8
Jorge Sánchez,Defender,Mexico,6.6000000000000005,0.38,0.375,0.4,27.913534,532,8
Victor Lindelöf,Defender,Sweden,6.5125,0.548387,1,0.75,38.535912,724,8
Ayase Ueda,Forward,Japan,7.040000000000001,0.358974,0.666667,1,12.195122,369,8
