ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,minutes_played,goals,xg,assists,xa,matches_played
Richie Laryea,Defender,Canada,592,0,0.351,0,1.583,8
Ali Olwan,Forward,Jordan,268,1,0.351,0,0.21400000000000002,3
Arthur Theate,Defender,Belgium,227,0,0.35000000000000003,0,0.027999999999999997,9
Raphaël Varane,Defender,France,1151,1,0.348,0,0.035,14
Ben Davies,Defender,Wales,239,0,0.346,0,0.034,3
Ricardo Pepi,Forward,USA,217,0,0.34299999999999997,0,0.193,5
Hassan Al Haydos,Forward,Qatar,275,1,0.34,0,0.51,6
Bernardo Silva,Midfielder,Portugal,699,0,0.33899999999999997,0,0.33499999999999996,14
Stephen Eustaquio,Midfielder,Canada,517,1,0.336,0,1.9569999999999999,7
Djibril Sow,Midfielder,Switzerland,523,0,0.332,1,0.247,10
Renato Veiga,Defender,Portugal,450,0,0.331,0,0.059,5
Kim Jin-su,Defender,South Korea,315,0,0.33,1,0.648,4
Victor Lindelöf,Defender,Sweden,724,0,0.326,0,0.075,8
Jamiro Monteiro,Midfielder,Cabo Verde,283,0,0.325,0,0.24900000000000003,4
Mohammad Mohebi,Forward,Iran,245,1,0.319,0,0.066,3
Xherdan Shaqiri,Midfielder,Switzerland,582,2,0.316,2,1.039,8
Joško Gvardiol,Defender,Croatia,852,1,0.316,0,0.322,11
Michael Estrada,Forward,Ecuador,227,0,0.315,0,0.363,3
Thomas Müller,Midfielder,Germany,410,0,0.315,0,0.481,6
Yunus Musah,Midfielder,USA,345,0,0.31,0,0.20099999999999998,4
Nico Schlotterbeck,Defender,Germany,234,1,0.309,0,0.157,5
Yasin Ayari,Midfielder,Sweden,348,2,0.307,0,0.49,4
Lisandro Martínez,Defender,Argentina,927,1,0.307,1,0.821,15
Bilal El Khannouss,Midfielder,Morocco,522,0,0.306,0,0.7290000000000001,13
James Rodríguez,Midfielder,Colombia,469,0,0.306,2,0.857,8
